# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_D.json (Lewis & Short via Perseus), simplified for learners.
damma | 1 | deer
damma | 3 | venison, the meat of a deer
damnabilis | 1 | damnable
damnas | 1 | bound
damnas | 3 | legal formula: bound or liable to do something, especially to pay a fine (damnas esto dare, let him be bound to give)
damnatio | 1 | condemnation
damnatio | 3 | an heir's legal obligation to pay a bequest
damno | 1 | condemn
damno | 2 | censure
damno | 3 | to harm or damage (an early, non-legal sense)
damno | 4 | with a genitive of the charge: damnari furti, to be convicted of theft
damno | 5 | with an ablative of the penalty: damnari capite, to be sentenced to death
damno | 6 | to bind an heir by will to carry out a bequest
damnosus | 1 | ruinous
damnosus | 2 | wasteful
damnum | 1 | loss
damnum | 2 | fine
damnum | 3 | damnum injuria datum, injury done to another's property or slave, actionable under the lex Aquilia
damnum | 4 | damnum infectum, threatened but not yet inflicted damage, against which security could be demanded
daps | 1 | feast
daps | 2 | offering
dapsilis | 1 | lavish
datatim | 1 | reciprocally
datatim | 3 | in ball games: passing the ball from one to another, back and forth (ludere datatim)
datio | 1 | giving
datio | 3 | the legal right to give away or transfer property
datio | 4 | a gift (in later Latin)
dativus | 1 | given
dativus | 3 | in law: dativi tutores, guardians appointed rather than named by will
dativus | 4 | in grammar: dativus (casus), the dative case
dato | 1 | give
dator | 1 | giver
dator | 3 | in ball games: the slave who hands the ball to the player
de2 | 1 | from
de2 | 2 | about
de2 | 3 | of material: made of, out of (signum de marmore, a statue of marble)
de2 | 4 | of cause: because of, on account of
de2 | 5 | of conformity: according to (de sua sententia, in his own opinion)
de2 | 6 | of a whole: some of, out of, from among (a partitive use)
de2 | 7 | of time: immediately after (rare)
de2 | 8 | in idioms: de integro, anew; de improviso, unexpectedly
dea | 1 | goddess
dealbo | 1 | whitewash
deambulo | 1 | stroll
deamo | 1 | adore
deamo | 3 | to be delighted with something (of things, not people)
deamo | 4 | deamo te, I'm much obliged to you (idiom of thanks)
deargento | 1 | silver-plate
deargento | 2 | impoverish
deauro | 1 | gild
debacchor | 1 | rave
debello | 1 | conquer
debello | 3 | to bring a war to a close, finish a war (intransitive)
debello | 4 | parcere subjectis et debellare superbos, to spare the humbled and crush the proud (Virgil)
debeo | 1 | owe
debeo | 2 | must
debeo | 3 | to be indebted to someone, to have to thank someone for something (debeo tibi hoc, I owe this to you)
debeo | 4 | poetic: to be destined by fate (cui regnum Italiae debetur, to whom Italy's kingdom is destined)
debilis | 1 | weak
debilis | 3 | of a person: lame, crippled, disabled
debilis | 4 | of the mind or character: enfeebled, incapacitated
debilitas | 1 | weakness
debilitas | 3 | lameness or physical infirmity
debilitas | 4 | of the mind: weakness of spirit
debilito | 1 | weaken
debilito | 3 | of the body: to lame, cripple, maim
debilito | 4 | of morale, resources, etc.: to unnerve, incapacitate
debitor | 1 | debtor
debitor | 3 | one bound to fulfil a vow once it has been granted (voti debitor)
debitor | 4 | one indebted or obliged to someone for something (figurative use)
decanto | 1 | repeat
decanto | 2 | enchant
decanto | 3 | to recite or rehearse, without any unfavourable sense (miserabiles elegos decantare, to recite mournful elegies)
decanto | 4 | intransitive: to leave off singing or lamenting
decanus | 1 | dean
decanus | 3 | a superior set over ten people, such as soldiers or monks (late Latin administrative and religious use)
decanus | 4 | in astrology: a decan, the ruler of one of the three ten-degree divisions of a zodiac sign
