# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_H.json (Lewis & Short via Perseus), simplified for learners.
ha! | 1 | ha
ha! | 3 | an exclamation of relief or joy: thank heavens!
ha! | 4 | repeated, ha ha, an exclamation of laughter or derision
habena | 1 | rein
habena | 3 | a strap or thong, in general
habena | 4 | transferred, a small strip of flesh cut away in surgery
habena | 5 | figurative, control, direction, government: habenas imperii tenere, to hold the reins of power
habeo | 1 | have
habeo | 2 | consider
habeo | 3 | to hold, possess, own
habeo | 4 | with a double object, to consider, regard, treat as: aliquem fidelem habere, to consider someone faithful
habeo | 5 | to hold, keep someone or something in a state or condition: aliquem in custodia habere, to keep someone under guard
habeo | 6 | reflexive, se habere, to be in a certain state or condition: bene se habere, to be well
habeo | 7 | to hold, wield, use, manage
habeo | 8 | to dwell, live somewhere, ante-classical, later replaced by habito
habeo | 9 | to spend or pass time: aetatem habere, to spend one's life
habeo | 10 | gladiatorial, hoc habet or habet, he is hit, he's done for
habilis | 1 | handy
habilis | 2 | skilful
habilis | 3 | easily handled or managed, well-suited, fit, apt
habilis | 4 | light, nimble, swift, agile
habilis | 5 | of persons, apt, expert, skilful at something
habitabilis | 1 | habitable
habitabilis | 3 | poetic, inhabited
habitatio | 1 | dwelling
habitatio | 2 | rent
habitatio | 3 | the act of dwelling or inhabiting
habitatio | 4 | a dwelling-place, a habitation, a home
habitatio | 5 | rent paid for a dwelling, house-rent
habitator | 1 | tenant
habitator | 3 | one who dwells in a house, an occupant
habitator | 4 | transferred, an inhabitant of a country or region
habito | 1 | dwell
habito | 3 | to inhabit, to have possession of a place
habito | 4 | transferred, to dwell on or linger over a subject, a favourite word of Cicero's
habitudo | 1 | condition
habitudo | 3 | one's bodily condition, appearance, figure
habituo | 1 | condition
habituo | 3 | passive, to be conditioned or constituted in a certain way, of bodily health
habitus2 | 1 | condition
habitus2 | 2 | attire
habitus2 | 3 | the state, plight, or appearance of the body
habitus2 | 4 | dress, attire, costume, Augustan and later
habitus2 | 5 | trop., quality, nature, character
habitus2 | 6 | a disposition of feeling, friendly or hostile, toward someone
habitus2 | 7 | in philosophy, an acquired settled condition or trait
hactenus | 1 | hitherto
hactenus | 3 | of space, to this point, thus far
hactenus | 4 | of a discourse, thus far, no further than this, a formula of transition
hactenus | 5 | of time, up to now, until now
hactenus | 6 | of extent, to this degree only, so far as: hactenus...quatenus, to this extent...as far as
haedus | 1 | kid
haedus | 3 | transferred, plural Haedi, a small constellation in the hand of the Wagoner, Auriga
haereo | 1 | stick
haereo | 2 | hesitate
haereo | 3 | to hang or cling to something, to be fixed in place
haereo | 4 | to remain attached, to adhere closely, to persist
haereo | 5 | to keep close to or follow someone
haereo | 6 | to remain or abide in a place, to stay fixed there
haereo | 7 | to be brought to a standstill, to be perplexed, at a loss, embarrassed
haesitatio | 1 | hesitation
haesitatio | 3 | a stammering, hesitation in speech
haesitatio | 4 | mental uncertainty, irresolution, perplexity
haesito | 1 | hesitate
haesito | 3 | to stick fast, remain fixed in a place, literally
haesito | 4 | of speech, to stammer, falter
haesito | 5 | of the mind, to be uncertain, undecided, at a loss
halitus | 1 | breath
halitus | 3 | exhalation, steam, vapour
halitus | 4 | transferred, the spirit, the soul, poetic
hallelujah | 1 | hallelujah
halo | 1 | exhale
halo | 3 | to give off fragrance, to be fragrant
halo | 4 | to breathe out, emit, as a scent
hamatus | 1 | hooked
hamatus | 3 | shaped like a hook, crooked
hamatus | 4 | figurative, alluring, baited, catching, like a hook
hamus | 1 | hook
hamus | 2 | allurement
hamus | 3 | especially, a fish-hook, an angle
hamus | 4 | figurative, an enticement, a lure, a bait
hamus | 5 | a hook used as a surgical instrument
hamus | 6 | transferred, anything hooked or curved: a hawk's talon, a thorn
hara | 1 | pen
hara | 3 | especially, a hog-sty
harena | 1 | sand
harena | 2 | arena
harena | 3 | a sandy place, a sandy desert or waste
harena | 4 | the seashore, the beach
harena | 5 | the sanded floor of the amphitheatre, where gladiators fought
harena | 6 | transferred, a combat in the amphitheatre, or the gladiators themselves
harena | 7 | figurative, the scene or theatre of any contest, such as a war or dispute
harenarius | 1 | sandy
harenarius | 3 | transferred, pertaining to the amphitheatre: fera harenaria, a beast destined for the arena
harenarius | 4 | as a noun, a gladiator
harenarius | 5 | as a noun, harenaria, a sand-pit
harenosus | 1 | sandy
hariolor | 1 | prophesy
hariolor | 3 | transferred, bad sense, to talk nonsense, babble foolishly, early Latin
hariolus | 1 | soothsayer
harundo | 1 | reed
harundo | 3 | a cane or reed plant
harundo | 4 | meton., a fishing rod
harundo | 5 | meton., an arrow, or the shaft of an arrow
harundo | 6 | meton., a reed pen, for writing
harundo | 7 | meton., a shepherd's pipe, a set of pan-pipes
harundo | 8 | meton., other things made of reed: a bird-lime twig, a measuring-rod, a rod for beating, a child's hobbyhorse
haruspex | 1 | haruspex
haruspex | 3 | poetic, a prophet or seer in general
haruspicinus | 1 | of divination
haruspicinus | 3 | as a noun, haruspicina, the art of divining by entrails
hasta | 1 | spear
hasta | 3 | especially, a lance, pike, javelin, a military weapon
hasta | 4 | a spear planted at public auctions, symbolizing sale by the state: sub hasta vendere, to sell at auction
hasta | 5 | transferred, of a comet, its tail shaped like a spear
hastatus | 1 | spear-armed
hastatus | 3 | military, hastati, the front line of a Roman legion, made up of young soldiers
