# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_S.json (Lewis & Short via Perseus), simplified for learners.
sabbatum | 1 | Sabbath
sabbatum | 3 | transferred, any Jewish holiday
saburro | 1 | ballast
saburro | 3 | comic, to be stuffed, crammed full
saccarius | 1 | of sacks
saccarius | 3 | as a noun, a sack-carrier, a porter
sacco | 1 | strain
sacco | 3 | transferred, of urine, to be filtered through the body
sacculus | 1 | bag
sacculus | 2 | purse
sacellum | 1 | shrine
sacellum | 3 | a small unroofed place consecrated to a god
sacer | 1 | sacred
sacer | 2 | accursed
sacer | 3 | devoted to a god for destruction, forfeited, outlawed
sacer | 4 | transferred, detestable, execrable
sacer | 5 | as a neuter plural noun (sacra), sacred rites, holy objects
sacerdos1 | 1 | priest
sacerdos1 | 3 | also used of a priestess
sacerdotalis | 1 | priestly
sacerdotalis | 3 | as a noun, one who has held a priestly office
sacerdotium | 1 | priesthood
sacerdotium | 3 | eccl. Latin, the mediatorial office of Christ
sacomarius | 1 | of weights
sacomarius | 3 | as a noun, a maker of weights
sacomarius | 4 | as a noun (n.), the public weighing-place
sacramentum | 1 | oath
sacramentum | 3 | a military oath of allegiance
sacramentum | 4 | jurid., a sum deposited by both parties in a lawsuit, forfeited by the loser
sacramentum | 5 | eccl. Latin, a sacred mystery
sacramentum | 6 | eccl. Latin, a sacrament
sacrarium | 1 | shrine
sacrarium | 3 | transferred, a secret hiding place
sacricola | 1 | sacrificer
sacrificium | 1 | sacrifice
sacrifico | 1 | sacrifice
sacrificulus | 1 | sacrificer
sacrificulus | 3 | rex sacrificulus, a Roman priestly office kept on after the fall of the monarchy
sacrificus | 1 | sacrificial
sacrilegium | 1 | sacrilege
sacrilegium | 3 | specifically, the stealing of sacred objects from a temple
sacrilegus | 1 | sacrilegious
sacrilegus | 3 | as a noun, a sacrilegious person, a wretch
sacro | 1 | consecrate
sacro | 3 | with a bad sense, to devote to destruction, declare accursed
sacro | 4 | to render sacred or inviolable by consecration, to hallow
sacrosanctus | 1 | sacrosanct
sacrosanctus | 3 | transferred, most holy, venerable
saecularis | 1 | secular
saecularis | 3 | ludi saeculares, the secular games, held once each era
saecularis | 4 | eccl. Latin, worldly, lay, opposed to religious life
saeculum | 1 | generation
saeculum | 2 | age
saeculum | 3 | a century, a period of about a hundred years
saeculum | 4 | an indefinitely long period, an age
saeculum | 5 | the times, the spirit of an age
saeculum | 6 | eccl. Latin, the world, worldliness
saeculum | 7 | in saecula saeculorum, for ever and ever
saepe | 1 | often
saepes | 1 | hedge
saepes | 3 | transferred, any enclosure, e.g. of rocks or gates
saepio | 1 | enclose
saepio | 3 | to cover, wrap, envelop
saepio | 4 | figuratively, to hedge in, check, impede
saepio | 5 | memoria saepire, to fix firmly in the memory, to learn by heart
saeptum | 1 | enclosure
saeptum | 3 | specifically, a fold for cattle
saeptum | 4 | plural, the Saepta, the voting enclosure in the Campus Martius
saeptum | 5 | medical, the diaphragm
saeta | 1 | bristle
saeta | 3 | of human hair, coarse or bristly hair
saeta | 4 | a fishing line
saeta | 5 | a brush
saetiger | 1 | bristly
saetosus | 1 | bristly
saevio | 1 | rage
saevio | 3 | transferred, of persons and things, to be furious, violent, raging
saevitia | 1 | ferocity
saevitia | 2 | cruelty
saevus | 1 | fierce
saevus | 2 | cruel
sagacitas | 1 | sagacity
sagacitas | 3 | specifically, keenness of scent in dogs
sagatus | 1 | cloaked
sagatus | 3 | wearing the sagum, a soldier's cloak, as opposed to the toga of civil life
sagatus | 4 | transferred, made of thick, coarse cloth
sagax | 1 | sagacious
sagax | 3 | specifically, keen-scented, of dogs
sagax | 4 | intellectually keen, shrewd, acute
sagina | 1 | fattening
sagina | 3 | concretely, food, nourishment
sagina | 4 | a fatted animal
sagina | 5 | meton., fatness, corpulence
sagino | 1 | fatten
sagino | 3 | of persons, to cram, stuff, feast
sagino | 4 | transferred, to feed, nourish
sagitta | 1 | arrow
sagitta | 3 | meton., the thin tip of a vine-shoot
sagitta | 4 | a lancet for bloodletting
sagitta | 5 | as a proper noun, the constellation Sagitta, the Arrow
sagittarius | 1 | archer
sagittarius | 3 | as an adjective, of or belonging to arrows
sagittarius | 4 | as a proper noun, the constellation Sagittarius
sagittifer | 1 | arrow-bearing
sagittifer | 3 | as a proper noun, the constellation Sagittarius
sagitto | 1 | shoot
sagitto | 3 | as a past participle, shot or wounded with an arrow
sagmen | 1 | sacred herbs
sagmen | 3 | a tuft of sacred herbs, plucked in the citadel, that made an envoy inviolable
sagus1 | 1 | witch
sagus1 | 3 | as an adjective, prophetic, presaging
sagus1 | 4 | transferred, a bawd, procuress
sal | 1 | salt
sal | 2 | wit
sal | 3 | poetic, sea water, brine
sal | 4 | good taste, elegance
salarius | 1 | of salt
salarius | 3 | as a noun, a dealer in salted fish
salarius | 4 | as a noun (salarium), salt-money, a salary
salax | 1 | lustful
salax | 3 | transferred, of things, provoking lust, aphrodisiac
salebra | 1 | roughness
salebra | 3 | of speech, harshness, an awkward or uneven passage
salebra | 4 | haerere in salebra, to get stuck, to stumble in speaking
salebrosus | 1 | rugged
salebrosus | 3 | of speech, harsh, rugged
salictum | 1 | willow-grove
salinae | 1 | saltworks
salinum | 1 | saltcellar
salio1 | 1 | salt
salio1 | 3 | eccl. Latin, to sprinkle before sacrifice
salio2 | 1 | leap
salio2 | 3 | transferred, of water, to gush, spurt, flow
salio2 | 4 | of animals, to mate, cover
saliva | 1 | saliva
saliva | 3 | transferred, a slimy moisture, slime
saliva | 4 | figuratively, taste, flavor; longing, appetite
salivo | 1 | discharge
salivo | 3 | veterinary, to salivate, treat a sick animal by salivation
salsamentarius | 1 | of salt-fish
salsamentarius | 3 | as a noun, a dealer in salted fish
salsamentum | 1 | salted fish
salsamentum | 3 | fish-pickle, brine
salsura | 1 | pickling
salsura | 3 | concretely, brine, pickle
salsura | 4 | pickled or salted fish
salsura | 5 | comic, ita meae animae salsura evenit, I am in such an ill-humor
saltatio | 1 | dance
saltatorius | 1 | of dancing
saltatorius | 3 | ludus saltatorius, a dancing-school
saltem | 1 | at least
saltem | 3 | with a negative, not even
salto | 1 | dance
salto | 3 | to act out a play through dance and gesture, to perform in pantomime
salto | 4 | figuratively, of an orator, to speak in a jerky, mannered style
saltuatim | 1 | by leaps
saltuatim | 3 | of writing, in a disjointed, skipping manner
saltus1 | 1 | leap
saltus1 | 3 | figuratively, a sudden leap, an abrupt rise
saltus2 | 1 | woodland-pasture
saltus2 | 3 | especially, a narrow pass, ravine, mountain-valley
saltus2 | 4 | in law, a tract of public land of four centuriae
saltus2 | 5 | vulgar, the female genitals
saltus2 | 6 | figuratively, ex hoc saltu, out of this dangerous predicament
salubris | 1 | healthy
salubris | 3 | of the human body itself, sound, vigorous
salubritas | 1 | healthfulness
salubritas | 3 | transferred, health, soundness itself
salus | 1 | safety
salus | 2 | health
salus | 3 | specifically, a greeting, a salutation
salus | 4 | eccl. Latin, salvation
salus | 5 | as a proper noun, Salus, the Roman goddess of Safety
