# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_N.json (Lewis & Short via Perseus), simplified for learners.
naevus | 1 | mole
naevus | 3 | blemish, fault (trop., late Lat.)
nam | 1 | for
nam | 3 | but, now (in transitions, introducing a new subject)
nam | 4 | but why, but what (in questions, expressing surprise)
namque | 1 | for
nanciscor | 1 | obtain
nanciscor | 3 | light upon, meet with, find (transf., by chance)
naris | 1 | nostril
naris | 3 | opening, vent (transf., of a canal or pipe)
narratio | 1 | narrative
narratio | 3 | statement of facts (in partic., the narrative section of a speech, rhet.)
narro | 1 | tell
narro | 3 | dedicate (rare, of a book, to a patron)
nascor | 1 | be born
nascor | 3 | arise, spring from, originate (transf., of things, e.g. rivers or plants)
nascor | 4 | be regenerated, be born again (eccl. Lat., spiritually)
nascor | 5 | destined, suited by nature (as adj. natus + dat. or ad, naturally fitted for something)
nascor | 6 | aged, of the age of (as adj. natus + a number, e.g. annos natus viginti, twenty years old)
nascor | 7 | a son (as subst. natus); a daughter (subst. nata)
nassa | 1 | fish-trap
nassa | 3 | snare, trap (trop., of an inescapable dangerous situation)
nasturtium | 1 | cress
nasus1 | 1 | nose
nasus1 | 3 | nozzle, spout (transf., of a vessel)
nasutus | 1 | large-nosed
nasutus | 3 | sharp-witted, satirical (trop., of a critical or mocking disposition)
natalicius | 1 | birthday
natalicius | 3 | birthday present (subst. neut. natalicium)
natalicius | 4 | birthday feast (subst. fem. natalicia)
natalis1 | 1 | birthday
natalis1 | 3 | anniversary, commemorative day (transf., of any yearly festival)
natalis1 | 4 | lineage, extraction (subst. plur. natales, of family origin)
natalis1 | 5 | origin, source (transf., of things, e.g. metals or ideas)
natatorius | 1 | swimming
natatorius | 3 | swimming-pool, bathing-place (subst. natatorium)
natio | 1 | nation
natio | 3 | breed, stock, race (of animals or people, in gen.)
natio | 4 | birth, origin (lit., rare)
natis | 1 | buttocks
nativitas | 1 | birth
nativitas | 3 | a generation (transf., of a genealogical unit)
nativus | 1 | native
nativus | 3 | inborn, innate (transf., of a quality)
nativus | 4 | primitive, root (gram., of a word not derived from another)
nato | 1 | swim
nato | 2 | float
nato | 3 | overflow, be flooded (with abl., mostly poet.)
nato | 4 | swim, be glazed (of the eyes, as of a drunk or dying person)
nato | 5 | waver, fluctuate (trop., to be uncertain)
natrix | 1 | water-snake
natrix | 3 | scourge (transf., a whip made of snake-skin)
natura | 1 | nature
natura | 3 | character, disposition (of a person, natural temperament)
natura | 4 | the world, the universe (transf.)
natura | 5 | genitals (euphemistic, subst., the natural parts)
natura | 6 | birth (lit., rare)
naturalis | 1 | natural
naturalis | 3 | by birth, biological (of a father, opp. adoptive)
natus2 | 1 | age
natus2 | 3 | growth (of plants, rare)
naucum | 1 | trifle
naufragium | 1 | shipwreck
naufragium | 3 | wreck, ruin (trop., of one's fortune or estate)
naufragium | 4 | wreckage, debris (transf., of a physical wreck)
naufragus | 1 | shipwrecked
naufragus | 3 | ruined (trop., of a person's fortune)
naufragus | 4 | causing shipwreck, hazardous (poet., transf., of a sea or storm)
nauseo | 1 | be seasick
nauseo | 3 | vomit, feel queasy (transf., in gen.)
nauseo | 4 | talk nonsense (trop., to belch out silly words)
nauseo | 5 | disgust, sicken (trop., to cause revulsion in others)
nauta | 1 | sailor
navalis | 1 | naval
navalis | 3 | dockyard (subst. navale, navalia)
navalis | 4 | rigging, tackle (subst., the fittings of a ship)
navia | 1 | boat
navia | 3 | trough (transf., a hollowed wood vessel used in vintage-making)
navicularius | 1 | shipowner
navicularius | 3 | of a ship, of a shipmaster (adj., late Lat.)
navicularius | 4 | the shipping business (subst. fem. navicularia)
navigatio | 1 | voyage
navigium | 1 | ship
navigium | 3 | raft, float (transf., post-class.)
navigium | 4 | a voyage, sailing (transf., ante- and post-class.)
navigo | 1 | sail
navigo | 3 | sail over, navigate (act., to traverse a sea)
navigo | 4 | proceed, advance (transf., e.g. of an army or a war moving swiftly)
navigo | 5 | swim (rare, poet.)
navigo | 6 | flow (rare, poet., of a current)
navis | 1 | ship
navis | 3 | genitals (euphemistic, transf.)
navis | 4 | the ship of state (trop., of political affairs)
navo | 1 | exert
navo | 3 | navare operam, to lend zealous assistance, apply oneself vigorously (idiom)
navus | 1 | diligent
navus | 3 | wholly, completely (adv. naviter, transf., emphatic)
ne1 | 1 | not
ne1 | 3 | not even (in the phrase ne...quidem)
ne1 | 4 | that not, lest (in purpose or result clauses, or after verbs of fearing, warning, forbidding)
